fetch_time,date_time,city,country,temperature,humidity,pressure,description,min_temp,max_temp,temp,weather
2023-05-03 13:55:16 ,2023-05-03 12:00:00,Stockholm,SE,11.28,42,1021,clear sky,10.3,11.28,11.28,Clear
2023-05-03 13:55:16 ,2023-05-03 15:00:00,Stockholm,SE,10.34,46,1022,light rain,8.46,10.34,10.34,Rain
2023-05-03 13:55:16 ,2023-05-03 18:00:00,Stockholm,SE,5.96,66,1024,broken clouds,3.3,5.96,5.96,Clouds
2023-05-03 13:55:16 ,2023-05-03 21:00:00,Stockholm,SE,1.6,78,1028,scattered clouds,1.6,1.6,1.6,Clouds
2023-05-03 13:55:16 ,2023-05-04 00:00:00,Stockholm,SE,1.14,76,1028,broken clouds,1.14,1.14,1.14,Clouds
2023-05-03 13:55:16 ,2023-05-04 03:00:00,Stockholm,SE,0.18,82,1029,broken clouds,0.18,0.18,0.18,Clouds
2023-05-03 13:55:16 ,2023-05-04 06:00:00,Stockholm,SE,3.37,56,1029,scattered clouds,3.37,3.37,3.37,Clouds
2023-05-03 13:55:16 ,2023-05-04 09:00:00,Stockholm,SE,6.11,37,1029,clear sky,6.11,6.11,6.11,Clear
2023-05-03 13:55:16 ,2023-05-04 12:00:00,Stockholm,SE,4.94,58,1030,light rain,4.94,4.94,4.94,Rain
2023-05-03 13:55:16 ,2023-05-04 15:00:00,Stockholm,SE,3.93,62,1030,light snow,3.93,3.93,3.93,Snow
2023-05-03 13:55:16 ,2023-05-04 18:00:00,Stockholm,SE,2.78,56,1031,broken clouds,2.78,2.78,2.78,Clouds
2023-05-03 13:55:16 ,2023-05-04 21:00:00,Stockholm,SE,-0.47,64,1032,scattered clouds,-0.47,-0.47,-0.47,Clouds
2023-05-03 13:55:16 ,2023-05-05 00:00:00,Stockholm,SE,-1.26,67,1033,few clouds,-1.26,-1.26,-1.26,Clouds
2023-05-03 13:55:16 ,2023-05-05 03:00:00,Stockholm,SE,-1.53,68,1034,clear sky,-1.53,-1.53,-1.53,Clear
2023-05-03 13:55:16 ,2023-05-05 06:00:00,Stockholm,SE,2.81,47,1035,clear sky,2.81,2.81,2.81,Clear
2023-05-03 13:55:16 ,2023-05-05 09:00:00,Stockholm,SE,6.15,38,1035,clear sky,6.15,6.15,6.15,Clear
2023-05-03 13:55:16 ,2023-05-05 12:00:00,Stockholm,SE,6.47,44,1034,scattered clouds,6.47,6.47,6.47,Clouds
2023-05-03 13:55:16 ,2023-05-05 15:00:00,Stockholm,SE,5.38,51,1034,broken clouds,5.38,5.38,5.38,Clouds
2023-05-03 13:55:16 ,2023-05-05 18:00:00,Stockholm,SE,2.74,63,1034,scattered clouds,2.74,2.74,2.74,Clouds
2023-05-03 13:55:16 ,2023-05-05 21:00:00,Stockholm,SE,0.13,72,1035,clear sky,0.13,0.13,0.13,Clear
2023-05-03 13:55:16 ,2023-05-06 00:00:00,Stockholm,SE,-0.34,73,1035,clear sky,-0.34,-0.34,-0.34,Clear
2023-05-03 13:55:16 ,2023-05-06 03:00:00,Stockholm,SE,-0.7,73,1035,clear sky,-0.7,-0.7,-0.7,Clear
2023-05-03 13:55:16 ,2023-05-06 06:00:00,Stockholm,SE,4.07,49,1035,clear sky,4.07,4.07,4.07,Clear
2023-05-03 13:55:16 ,2023-05-06 09:00:00,Stockholm,SE,6.88,39,1034,scattered clouds,6.88,6.88,6.88,Clouds
2023-05-03 13:55:16 ,2023-05-06 12:00:00,Stockholm,SE,7.61,40,1034,broken clouds,7.61,7.61,7.61,Clouds
2023-05-03 13:55:16 ,2023-05-06 15:00:00,Stockholm,SE,6.72,45,1033,overcast clouds,6.72,6.72,6.72,Clouds
2023-05-03 13:55:16 ,2023-05-06 18:00:00,Stockholm,SE,4.08,62,1032,overcast clouds,4.08,4.08,4.08,Clouds
2023-05-03 13:55:16 ,2023-05-06 21:00:00,Stockholm,SE,2.25,76,1032,overcast clouds,2.25,2.25,2.25,Clouds
2023-05-03 13:55:16 ,2023-05-07 00:00:00,Stockholm,SE,2.06,77,1031,overcast clouds,2.06,2.06,2.06,Clouds
2023-05-03 13:55:16 ,2023-05-07 03:00:00,Stockholm,SE,1.3,86,1031,overcast clouds,1.3,1.3,1.3,Clouds
2023-05-03 13:55:16 ,2023-05-07 06:00:00,Stockholm,SE,5.08,56,1030,overcast clouds,5.08,5.08,5.08,Clouds
2023-05-03 13:55:16 ,2023-05-07 09:00:00,Stockholm,SE,8.94,39,1029,broken clouds,8.94,8.94,8.94,Clouds
2023-05-03 13:55:16 ,2023-05-07 12:00:00,Stockholm,SE,10.4,38,1028,overcast clouds,10.4,10.4,10.4,Clouds
2023-05-03 13:55:16 ,2023-05-07 15:00:00,Stockholm,SE,10.3,43,1026,broken clouds,10.3,10.3,10.3,Clouds
2023-05-03 13:55:16 ,2023-05-07 18:00:00,Stockholm,SE,6.83,62,1026,broken clouds,6.83,6.83,6.83,Clouds
2023-05-03 13:55:16 ,2023-05-07 21:00:00,Stockholm,SE,3.9,75,1026,few clouds,3.9,3.9,3.9,Clouds
2023-05-03 13:55:16 ,2023-05-08 00:00:00,Stockholm,SE,3.48,75,1025,few clouds,3.48,3.48,3.48,Clouds
2023-05-03 13:55:16 ,2023-05-08 03:00:00,Stockholm,SE,2.66,82,1024,clear sky,2.66,2.66,2.66,Clear
2023-05-03 13:55:16 ,2023-05-08 06:00:00,Stockholm,SE,7.87,60,1023,clear sky,7.87,7.87,7.87,Clear
2023-05-03 13:55:16 ,2023-05-08 09:00:00,Stockholm,SE,11.6,51,1022,broken clouds,11.6,11.6,11.6,Clouds
