fetch_time,date_time,city,country,temperature,humidity,pressure,description,min_temp,max_temp,temp,weather
2023-04-30 12:34:57 ,2023-04-30 12:00:00,Stockholm,SE,8.64,48,1012,scattered clouds,8.64,9.21,8.64,Clouds
2023-04-30 12:34:57 ,2023-04-30 15:00:00,Stockholm,SE,9.46,43,1013,broken clouds,9.46,10.01,9.46,Clouds
2023-04-30 12:34:57 ,2023-04-30 18:00:00,Stockholm,SE,7.26,43,1015,broken clouds,7.26,7.26,7.26,Clouds
2023-04-30 12:34:57 ,2023-04-30 21:00:00,Stockholm,SE,4.38,55,1016,scattered clouds,4.38,4.38,4.38,Clouds
2023-04-30 12:34:57 ,2023-05-01 00:00:00,Stockholm,SE,3.05,63,1015,broken clouds,3.05,3.05,3.05,Clouds
2023-04-30 12:34:57 ,2023-05-01 03:00:00,Stockholm,SE,2.46,71,1015,overcast clouds,2.46,2.46,2.46,Clouds
2023-04-30 12:34:57 ,2023-05-01 06:00:00,Stockholm,SE,5.05,71,1014,overcast clouds,5.05,5.05,5.05,Clouds
2023-04-30 12:34:57 ,2023-05-01 09:00:00,Stockholm,SE,6.21,73,1013,overcast clouds,6.21,6.21,6.21,Clouds
2023-04-30 12:34:57 ,2023-05-01 12:00:00,Stockholm,SE,3.94,95,1012,light rain,3.94,3.94,3.94,Rain
2023-04-30 12:34:57 ,2023-05-01 15:00:00,Stockholm,SE,5.47,95,1008,moderate rain,5.47,5.47,5.47,Rain
2023-04-30 12:34:57 ,2023-05-01 18:00:00,Stockholm,SE,7.12,92,1007,light rain,7.12,7.12,7.12,Rain
2023-04-30 12:34:57 ,2023-05-01 21:00:00,Stockholm,SE,8.29,85,1006,light rain,8.29,8.29,8.29,Rain
2023-04-30 12:34:57 ,2023-05-02 00:00:00,Stockholm,SE,7.93,89,1005,overcast clouds,7.93,7.93,7.93,Clouds
2023-04-30 12:34:57 ,2023-05-02 03:00:00,Stockholm,SE,5.14,96,1006,light rain,5.14,5.14,5.14,Rain
2023-04-30 12:34:57 ,2023-05-02 06:00:00,Stockholm,SE,2.2,97,1009,snow,2.2,2.2,2.2,Snow
2023-04-30 12:34:57 ,2023-05-02 09:00:00,Stockholm,SE,4.95,73,1011,light rain,4.95,4.95,4.95,Rain
2023-04-30 12:34:57 ,2023-05-02 12:00:00,Stockholm,SE,7.98,53,1013,overcast clouds,7.98,7.98,7.98,Clouds
2023-04-30 12:34:57 ,2023-05-02 15:00:00,Stockholm,SE,8.97,44,1015,overcast clouds,8.97,8.97,8.97,Clouds
2023-04-30 12:34:57 ,2023-05-02 18:00:00,Stockholm,SE,6.55,64,1017,light rain,6.55,6.55,6.55,Rain
2023-04-30 12:34:57 ,2023-05-02 21:00:00,Stockholm,SE,4.09,76,1019,overcast clouds,4.09,4.09,4.09,Clouds
2023-04-30 12:34:57 ,2023-05-03 00:00:00,Stockholm,SE,3.26,84,1020,overcast clouds,3.26,3.26,3.26,Clouds
2023-04-30 12:34:57 ,2023-05-03 03:00:00,Stockholm,SE,2.8,88,1021,overcast clouds,2.8,2.8,2.8,Clouds
2023-04-30 12:34:57 ,2023-05-03 06:00:00,Stockholm,SE,6.34,71,1022,broken clouds,6.34,6.34,6.34,Clouds
2023-04-30 12:34:57 ,2023-05-03 09:00:00,Stockholm,SE,9.75,50,1023,clear sky,9.75,9.75,9.75,Clear
2023-04-30 12:34:57 ,2023-05-03 12:00:00,Stockholm,SE,10.81,44,1023,light rain,10.81,10.81,10.81,Rain
2023-04-30 12:34:57 ,2023-05-03 15:00:00,Stockholm,SE,8.22,67,1024,light rain,8.22,8.22,8.22,Rain
2023-04-30 12:34:57 ,2023-05-03 18:00:00,Stockholm,SE,5.23,86,1025,light rain,5.23,5.23,5.23,Rain
2023-04-30 12:34:57 ,2023-05-03 21:00:00,Stockholm,SE,3.55,90,1025,few clouds,3.55,3.55,3.55,Clouds
2023-04-30 12:34:57 ,2023-05-04 00:00:00,Stockholm,SE,3.41,88,1025,scattered clouds,3.41,3.41,3.41,Clouds
2023-04-30 12:34:57 ,2023-05-04 03:00:00,Stockholm,SE,3.15,87,1026,overcast clouds,3.15,3.15,3.15,Clouds
2023-04-30 12:34:57 ,2023-05-04 06:00:00,Stockholm,SE,3.27,88,1026,light rain,3.27,3.27,3.27,Rain
2023-04-30 12:34:57 ,2023-05-04 09:00:00,Stockholm,SE,4.16,79,1026,light rain,4.16,4.16,4.16,Rain
2023-04-30 12:34:57 ,2023-05-04 12:00:00,Stockholm,SE,4.34,75,1026,overcast clouds,4.34,4.34,4.34,Clouds
2023-04-30 12:34:57 ,2023-05-04 15:00:00,Stockholm,SE,3.35,90,1026,light rain,3.35,3.35,3.35,Rain
2023-04-30 12:34:57 ,2023-05-04 18:00:00,Stockholm,SE,2.55,79,1027,light snow,2.55,2.55,2.55,Snow
2023-04-30 12:34:57 ,2023-05-04 21:00:00,Stockholm,SE,0.28,69,1028,broken clouds,0.28,0.28,0.28,Clouds
2023-04-30 12:34:57 ,2023-05-05 00:00:00,Stockholm,SE,-0.04,80,1027,scattered clouds,-0.04,-0.04,-0.04,Clouds
2023-04-30 12:34:57 ,2023-05-05 03:00:00,Stockholm,SE,0.32,82,1028,few clouds,0.32,0.32,0.32,Clouds
2023-04-30 12:34:57 ,2023-05-05 06:00:00,Stockholm,SE,3.03,58,1028,clear sky,3.03,3.03,3.03,Clear
2023-04-30 12:34:57 ,2023-05-05 09:00:00,Stockholm,SE,4.94,43,1029,clear sky,4.94,4.94,4.94,Clear
